Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Decoration,Pattern Type,Recommendation
Party,Average,?,M,Spring,V-neck,Sleeveless,Natural,Modal,null,Patchwork,Yes
Casual,Average,4.4,Free,Summer,Slash-neck,Sleeveless,Empire,Cotton,null,Animal,Yes
Casual,Very-high,4.6,M,Winter,O-neck,Short,Natural,Cotton,Flowers,Solid,Yes
Casual,Low,4.4,Free,Winter,Halter,Sleeveless,Natural,Cotton,Draped,Patchwork,Yes
Party,High,4.5,M,Winter,O-neck,Sleeveless,?,Silk,null,Print,Yes
Casual,Average,4.8,Free,Summer,O-neck,Sleeveless,Natural,Silk,null,Solid,No
Sexy,Average,5,M,Summer,O-neck,Sleeveless,Natural,Polyster,Rivet,Dot,No
Vintage,Average,4.9,Free,Summer,O-neck,Turndowncollor,Empire,Polyster,null,Print,No
Vintage,Average,4.7,S,Summer,Turndowncollor,Short,Empire,Cotton,null,Animal,No
Work,Average,4.9,M,Summer,Square-collor,Half-sleeve,Empire,Polyster,Sashes,Solid,No
Casual,Low,4.7,L,Spring,O-neck,Short,Natural,Chiffon,null,Solid,No
Casual,Average,4.8,L,Autumn,O-neck,Short,Natural,Cashmere,null,Animal,No
Sexy,Low,4.7,Free,Spring,V-neck,Sleeveless,?,Chiffon,Sequined,Animal,Yes
Casual,Average,?,S,Winter,Slash-neck,Half-sleeve,Natural,Nylon,null,Print,No
Casual,Average,4.2,S,Winter,V-neck,Sleeveless,Empire,Cashmere,Hollowout,Patchwork,No
Novelty,Average,?,Free,Summer,O-neck,Full,Natural,Cotton,Hollowout,Solid,No
Casual,Low,4.3,Free,Summer,Backless,Sleeveless,Empire,Chiffon,Crystal,Solid,No
Casual,Average,3.7,M,Summer,Boat-neck,Sleeveless,Natural,Linen,null,Solid,No
Casual,Average,5,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Lace,Animal,Yes
Sexy,Low,5,Free,Spring,V-neck,Sleeveless,Empire,Cashmere,null,Animal,No
Cute,Low,?,Free,Winter,O-neck,Sleeveless,Natural,Microfiber,null,Print,No
Vintage,Average,4.8,M,Summer,V-neck,Full,Natural,Rayon,null,Animal,Yes
Bohemian,Average,4.8,L,Winter,O-neck,Sleeveless,Natural,Polyster,null,Solid,No
Bohemian,Average,?,Free,Spring,O-neck,Sleeveless,Natural,Rayon,null,Striped,Yes
Sexy,Average,4.5,M,Summer,Bowneck,Sleeveless,?,Cotton,null,Solid,No
Novelty,Medium,4.2,M,Winter,O-neck,Half-sleeve,Natural,Polyster,Hollowout,Animal,Yes
Casual,Low,5,Free,Spring,V-neck,Full,Natural,Cotton,null,Solid,Yes
Casual,Average,5,L,Winter,O-neck,Threequarter,Natural,Polyster,Applique,Solid,No
Casual,Low,4.8,M,Winter,V-neck,Sleeveless,Natural,Polyster,null,Print,No
Bohemian,Low,5,Free,Spring,O-neck,Short,Natural,Nylon,Sashes,Print,Yes
Casual,Low,5,Free,Spring,Bowneck,Sleeveless,Natural,Silk,Applique,Print,No
Casual,Low,5,M,Spring,O-neck,Sleeveless,Natural,Chiffon,null,Solid,Yes
Cute,Average,4.3,M,Summer,Bowneck,?,Natural,Cotton,null,Solid,No
Novelty,Average,?,Free,Winter,O-neck,Short,Natural,Polyster,Lace,Dot,Yes
Cute,Low,?,L,Spring,O-neck,Sleeveless,Empire,Cotton,null,Dot,Yes
Sexy,Low,4.8,Free,Spring,Slash-neck,Sleeveless,Natural,Cotton,Sequined,Solid,No
Sexy,Low,4.8,Free,Summer,Slash-neck,Sleeveless,Empire,Silk,Lace,Solid,No
Casual,Low,4.4,M,Winter,O-neck,Sleeveless,Natural,Polyster,null,Solid,No
Casual,Average,4.5,M,Winter,O-neck,Sleeveless,Natural,Polyster,Ruched,Striped,No
Casual,Low,4.7,S,Summer,O-neck,Full,Natural,Cotton,null,Patchwork,No
Casual,Low,4.4,Free,Spring,O-neck,Sleeveless,Natural,Polyster,Sashes,Print,No
Work,Average,4.9,M,Winter,Slash-neck,Short,Natural,Polyster,Ruffles,Solid,No
Cute,Medium,4.6,Free,Spring,O-neck,Short,Natural,Chiffon,Hollowout,Solid,Yes
Casual,Low,4.7,Free,Spring,O-neck,Half-sleeve,Natural,Silk,Sashes,Print,No
Casual,Low,4.7,M,Winter,O-neck,Full,Empire,Polyster,null,Print,Yes
Casual,Average,4.8,M,Spring,O-neck,Sleeveless,Natural,Cotton,Hollowout,Print,No
Sexy,Low,4.8,L,Summer,O-neck,Sleeveless,Natural,Cotton,null,Solid,Yes
Casual,Average,4.3,M,Spring,O-neck,Half-sleeve,?,Nylon,null,Dot,Yes
Casual,Average,4.7,XL,Winter,V-neck,Short,Empire,Milksilk,null,Print,No
Casual,Low,?,L,Winter,V-neck,Full,?,Linen,null,Solid,No
Sexy,Average,4.7,M,Autumn,Slash-neck,Sleeveless,Natural,Nylon,Rivet,Solid,No
Casual,Low,4.7,Free,Winter,O-neck,Sleeveless,Natural,Silk,null,Dot,Yes
Casual,High,?,L,Winter,V-neck,Full,?,Polyster,null,Solid,No
Casual,Low,4.7,L,Summer,O-neck,Sleeveless,Natural,Silk,Lace,Patchwork,No
Casual,Average,4.7,Free,Summer,V-neck,Full,Natural,Cotton,Sashes,Solid,No
Casual,Average,?,Free,Winter,V-neck,Full,?,Cashmere,null,Solid,Yes
Casual,Low,4.7,Free,Summer,O-neck,Cap-sleeves,Natural,Chiffon,null,Print,Yes
Casual,Average,4.7,M,Summer,O-neck,Threequarter,?,Chiffon,Ruched,Solid,No
Sexy,Low,4.5,Free,Summer,Slash-neck,Sleeveless,?,Polyster,null,Print,No
Vintage,Low,4,Free,Summer,Turndowncollor,Short,Natural,Cotton,Hollowout,Solid,No
Sexy,Low,4.7,Free,Summer,V-neck,Sleeveless,?,Cashmere,null,Animal,No
Bohemian,Low,5,Free,Summer,O-neck,Sleeveless,Empire,Cotton,Tassel,Print,Yes
Casual,Low,4.7,S,Winter,O-neck,Sleeveless,Natural,Knitting,Lace,Solid,No
Sexy,Average,4.5,S,Winter,V-neck,Sleeveless,?,Polyster,null,Animal,No
Cute,Average,4.7,M,Summer,O-neck,Sleeveless,Natural,Chiffon,Sashes,Splice,No
Vintage,Low,?,Free,Summer,O-neck,Sleeveless,Natural,Cotton,null,Print,Yes
Casual,Average,4.1,L,Winter,O-neck,Sleeveless,Natural,Polyster,null,Dot,Yes
Casual,Average,4.2,M,Winter,V-neck,Full,Empire,Polyster,Lace,Patchwork,Yes
Brief,Average,4.8,Free,Winter,V-neck,Half-sleeve,Natural,Polyster,null,Solid,No
Brief,Average,4.9,Free,Winter,O-neck,Sleeveless,Natural,Knitting,null,Solid,No
Sexy,Average,4.8,S,Winter,V-neck,Sleeveless,Empire,Polyster,Lace,Solid,No
Casual,Average,4.7,L,Winter,O-neck,Sleeveless,Natural,Polyster,null,Patchwork,No
Vintage,Average,4.7,M,Summer,V-neck,Short,Natural,Rayon,Beading,Print,No
Casual,Average,4.8,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Sashes,Solid,No
Sexy,Low,4.7,M,Winter,V-neck,Sleeveless,Natural,Polyster,null,Striped,No
Casual,Average,5,S,Spring,Turndowncollor,Full,Empire,Cotton,null,Solid,No
Casual,Low,1,M,Spring,O-neck,Half-sleeve,?,Modal,null,Animal,No
Sexy,Average,4.1,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Lace,Print,Yes
Casual,Low,4,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Hollowout,Print,No
Work,Average,4.7,M,Spring,V-neck,Sleeveless,?,Microfiber,null,Dot,Yes
Cute,Average,4.6,Free,Spring,V-neck,Full,Natural,Cotton,null,Solid,Yes
Casual,Low,5,M,Spring,O-neck,Sleeveless,Natural,Spandex,null,Print,No
Casual,Average,4.7,M,Autumn,V-neck,Sleeveless,Natural,Spandex,null,Striped,Yes
Casual,Low,4.6,Free,Winter,O-neck,Full,Natural,Polyster,Applique,Solid,No
Casual,Average,4.5,L,Summer,O-neck,Short,Natural,Cotton,Pockets,Solid,No
Cute,Average,4.6,M,Autumn,O-neck,Threequarter,Natural,Silk,Sashes,Print,No
Casual,Low,4.6,Free,Autumn,O-neck,Half-sleeve,Natural,Chiffon,null,Leopard,Yes
Casual,Low,4.7,L,Summer,?,Sleeveless,?,Cotton,null,Solid,Yes
Sexy,Low,?,L,Summer,O-neck,Sleeveless,Empire,Silk,null,Striped,No
Bohemian,Average,4,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Ruffles,Striped,No
Casual,Low,4.7,Free,Summer,O-neck,Full,Natural,Cotton,null,Solid,Yes
Work,Average,?,M,Summer,V-neck,Sleeveless,Natural,Cotton,null,Solid,Yes
Bohemian,Average,4.1,Free,Summer,O-neck,Threequarter,?,Silk,Hollowout,Animal,No
Casual,Average,?,M,Spring,O-neck,Half-sleeve,Natural,Spandex,Lace,Solid,No
Brief,Low,4.6,M,Summer,O-neck,Short,Natural,Cotton,null,Animal,No
Cute,Low,?,Free,Spring,V-neck,Sleeveless,Empire,Chiffon,null,Dot,Yes
Casual,Average,5,M,Spring,O-neck,Threequarter,?,Spandex,null,Dot,No
Casual,Low,5,Free,Winter,O-neck,Full,Natural,Wool,Applique,Solid,No
Vintage,Average,4.5,L,Winter,O-neck,Short,Empire,Wool,Sequined,Patchwork,Yes
Casual,Average,4.5,Free,Summer,O-neck,Short,Natural,Polyster,null,Solid,No
Bohemian,Low,4.4,L,Summer,Bowneck,Short,Natural,Cotton,null,Dot,No
Casual,High,?,L,Winter,V-neck,Threequarter,Natural,Polyster,Ruffles,Solid,Yes
Casual,Average,4.8,Free,Winter,O-neck,Sleeveless,?,Polyster,Sashes,Solid,No
Brief,Low,4.7,M,Winter,O-neck,Full,Natural,Cotton,null,Patchwork,No
Casual,Medium,?,Free,Winter,Bowneck,Full,?,Cashmere,null,Solid,Yes
Casual,Average,4.7,M,Winter,O-neck,Short,Empire,Polyster,null,Animal,No
Party,Average,?,M,Summer,O-neck,Full,Natural,Cotton,null,Patchwork,Yes
Bohemian,Average,4.8,S,Summer,V-neck,Short,Natural,Cotton,null,Solid,No
Sexy,Average,4.9,Free,Summer,Square-collor,Sleeveless,Natural,Polyster,Sashes,Print,No
Casual,Average,3,M,Spring,Turndowncollor,Short,Empire,Polyster,Sashes,Patchwork,No
Casual,Low,4.7,L,Autumn,O-neck,Short,Natural,Polyster,null,Patchwork,Yes
Casual,Average,4.3,M,Autumn,O-neck,Sleeveless,Natural,Polyster,Plain,Solid,No
Casual,Average,?,XL,Winter,V-neck,Short,Empire,Polyster,Pockets,Solid,Yes
Casual,Low,5,Free,Summer,O-neck,Sleeveless,Natural,Modal,Plain,Solid,Yes
Vintage,Average,?,L,Summer,Square-collor,Short,Empire,Cotton,null,Dot,Yes
Casual,Low,4.7,Free,Winter,O-neck,Sleeveless,Natural,Milksilk,null,Animal,No
Vintage,Average,5,M,Summer,V-neck,Threequarter,Natural,Polyster,null,Print,No
Casual,Low,4.7,L,Summer,O-neck,Full,Natural,Mix,Lace,Patchwork,Yes
Bohemian,Average,4.6,M,Spring,O-neck,Sleeveless,Natural,Chiffon,Sashes,Solid,No
Party,Average,4.8,M,Summer,O-neck,Full,?,Cotton,null,Solid,Yes
Bohemian,Low,4.6,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Beading,Solid,No
Party,Very-high,4.6,Free,Summer,O-neck,Sleeveless,Empire,Rayon,Hollowout,Solid,No
Cute,Low,4.8,M,Spring,O-neck,Short,Natural,Chiffon,Bow,Dot,Yes
Vintage,Average,?,M,Spring,O-neck,Half-sleeve,Empire,Polyster,Lace,Animal,No
Casual,Medium,4.9,L,Winter,O-neck,Short,Natural,Cotton,Sashes,Solid,No
Casual,Average,4.2,Free,Summer,O-neck,Sleeveless,Natural,Cotton,null,Striped,Yes
Casual,Average,4.9,M,Summer,O-neck,Short,Dropped,Cotton,Ruffles,Patchwork,No
Bohemian,Low,5,XL,Spring,V-neck,Threequarter,Natural,Mix,null,Print,Yes
Casual,Average,4.7,M,Summer,O-neck,Sleeveless,?,Cotton,null,Dot,No
Casual,Average,?,Free,Summer,Bowneck,Half-sleeve,?,Cotton,null,Animal,No
Casual,Average,?,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Lace,Floral,No
Sexy,Medium,?,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Sequined,Solid,No
Sexy,Low,4.4,Free,Autumn,V-neck,Sleeveless,Natural,Cotton,Lace,Solid,No
Sexy,Average,?,Free,Spring,V-neck,Full,Natural,Cotton,Lace,Solid,Yes
Brief,Average,4.9,XL,Spring,Slash-neck,Full,Natural,Modal,Sashes,Solid,No
Casual,Average,4.7,XL,Summer,V-neck,Half-sleeve,Natural,Microfiber,null,Print,Yes
Casual,Average,?,Free,Autumn,V-neck,Full,Natural,Cotton,Lace,Solid,No
Casual,Average,4.8,M,Summer,V-neck,Full,Natural,Silk,null,Dot,No
Casual,Medium,4.9,L,Spring,Square-collor,Sleeveless,Empire,Spandex,null,Print,No
Party,Average,4.7,M,Spring,O-neck,Half-sleeve,Empire,Viscos,null,Patchwork,No
Sexy,Low,4.4,Free,Summer,Bowneck,Sleeveless,Natural,Viscos,Bow,Solid,No
Bohemian,Low,4.6,Free,Winter,O-neck,Sleeveless,Empire,Polyster,null,Patchwork,Yes
Casual,Low,4.6,Free,Autumn,O-neck,Full,Natural,Rayon,Lace,Solid,Yes
Sexy,Low,4.5,Free,Summer,O-neck,Sleeveless,Empire,Cotton,Sashes,Solid,Yes
Sexy,Low,?,Free,Winter,V-neck,?,Dropped,Cotton,Lace,Patchwork,Yes
Casual,Average,?,XL,Spring,Bowneck,Sleeveless,Natural,Mix,Lace,Solid,No
Sexy,Average,?,Free,Autumn,O-neck,Full,Natural,Polyster,Hollowout,Solid,No
Sexy,Low,4.8,Free,Spring,V-neck,Sleeveless,Natural,Modal,null,Striped,Yes
Brief,Low,4.7,Free,Autumn,O-neck,Sleeveless,Natural,Modal,Sequined,Solid,No
Sexy,High,5,M,Summer,V-neck,Sleeveless,Natural,Mix,null,Striped,No
Casual,Average,4.6,L,Summer,Bowneck,Full,Dropped,Cotton,null,Patchwork,No
Cute,Medium,4.9,S,Summer,Bowneck,Sleeveless,Empire,Cotton,Bow,Patchwork,Yes
Novelty,Average,4.9,M,Autumn,O-neck,Short,Natural,Polyster,null,Print,No
Casual,Low,4.3,Free,Spring,O-neck,Full,?,Chiffon,Sashes,None,Yes
Casual,Low,4.7,S,Autumn,O-neck,Sleeveless,Natural,Cotton,null,Solid,No
Casual,Average,4.8,L,Autumn,Boat-neck,Sleeveless,Natural,Polyster,Sashes,Solid,No
Cute,Average,4.5,L,Winter,V-neck,Sleeveless,Natural,Polyster,Sashes,Solid,Yes
Casual,Average,4.4,Free,Summer,O-neck,Cap-sleeves,Natural,Cotton,null,Solid,No
Party,Average,?,M,Spring,O-neck,Sleeveless,?,Cotton,null,Solid,Yes
Sexy,Low,?,Free,Summer,V-neck,Sleeveless,Dropped,Polyster,null,Dot,Yes
Casual,Low,4.8,L,Summer,V-neck,Threequarter,Natural,Cotton,null,Print,No
Work,Average,5,M,Summer,O-neck,Sleeveless,Natural,Silk,null,Solid,Yes
Novelty,Average,5,Free,Summer,O-neck,Sleeveless,Natural,Silk,null,Print,No
Casual,Low,4.6,Free,Spring,V-neck,Sleeveless,Natural,Silk,Draped,Solid,No
Casual,Average,4.5,M,Summer,O-neck,Full,Natural,Cotton,Lace,Solid,No
Casual,Average,4.5,L,Spring,Boat-neck,Threequarter,Natural,Chiffon,Lace,Animal,Yes
Casual,Average,4.5,Free,Autumn,O-neck,Half-sleeve,Natural,Cotton,Hollowout,Solid,Yes
Cute,Low,?,M,Summer,Boat-neck,Short,?,Microfiber,Sashes,Patchwork,No
Party,Average,4.9,M,Winter,O-neck,Half-sleeve,?,Cotton,Lace,Print,Yes
Casual,Average,4.8,M,Summer,O-neck,Half-sleeve,?,Polyster,null,Solid,No
Casual,Low,4.4,L,Summer,O-neck,Sleeveless,Natural,Cotton,null,Solid,No
Casual,Average,4.3,M,Winter,Slash-neck,Sleeveless,Natural,Polyster,Sashes,Solid,No
Cute,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Polyster,Lace,Solid,No
Sexy,Average,?,S,Summer,V-neck,Sleeveless,?,Cotton,null,Animal,Yes
Casual,Low,4.4,Free,Summer,O-neck,Sleeveless,?,Silk,null,Animal,No
Cute,High,4.3,M,Spring,Boat-neck,Full,Natural,Polyster,Lace,Solid,Yes
Work,Average,4.8,M,Winter,Turndowncollor,Full,Natural,Silk,null,Solid,No
Casual,Average,4.6,M,Spring,O-neck,Half-sleeve,Natural,Polyster,Lace,Solid,No
Sexy,Low,?,Free,Summer,V-neck,Sleeveless,Empire,Cotton,null,Solid,No
Casual,High,4.9,XL,Winter,V-neck,Full,Empire,Cotton,Sequined,Solid,No
Sexy,Low,?,Free,Winter,O-neck,Sleeveless,Natural,Lycra,Hollowout,Solid,No
Cute,Average,5,M,Autumn,V-neck,Sleeveless,Natural,Cotton,null,Solid,No
Cute,Low,?,Free,Spring,V-neck,Sleeveless,Natural,Silk,Lace,Patchwork,Yes
Casual,Low,4.4,Free,Summer,O-neck,Full,Natural,Cotton,Pockets,Solid,No
Casual,Average,?,L,Spring,O-neck,Sleeveless,Natural,Chiffon,Sequined,Solid,No
Cute,Average,4.7,M,Spring,O-neck,Full,Natural,Rayon,Beading,Solid,Yes
Casual,Average,4.6,M,Winter,V-neck,Half-sleeve,Natural,Silk,Sashes,Solid,Yes
Casual,Low,4.4,Free,Summer,O-neck,Full,Natural,Cotton,null,Solid,Yes
Casual,Low,5,M,Autumn,O-neck,Sleeveless,Empire,Lycra,null,Print,Yes
Casual,Average,?,Free,Winter,O-neck,Short,Natural,Polyster,Cascading,Solid,No
Sexy,Average,?,Free,Winter,Slash-neck,Sleeveless,Natural,Cotton,Sequined,Solid,Yes
Casual,Low,4.4,M,Summer,O-neck,Half-sleeve,Empire,Chiffon,Bow,Solid,No
Cute,Average,?,L,Summer,O-neck,Sleeveless,Empire,Cotton,Lace,Solid,Yes
Casual,Low,4.8,Free,Winter,Bowneck,Full,Natural,Polyster,Bow,Solid,No
Casual,Average,5,L,Summer,O-neck,Sleeveless,Natural,Cotton,null,Animal,Yes
Cute,Average,4.6,M,Spring,O-neck,Half-sleeve,Natural,Acrylic,null,Print,No
Bohemian,Low,4.6,Free,Summer,O-neck,Sleeveless,Natural,Cotton,null,Solid,Yes
Brief,Average,4.7,M,Winter,O-neck,Half-sleeve,Natural,Acrylic,null,Striped,No
Casual,Low,4.7,M,Spring,O-neck,Full,Natural,Polyster,null,Solid,Yes
Sexy,Low,4.3,Free,Summer,O-neck,Full,Empire,Cotton,null,Striped,No
Casual,Average,4.7,M,Summer,V-neck,Full,Empire,Cotton,Lace,Solid,Yes
Casual,Average,4.6,L,Winter,Boat-neck,Sleeveless,Empire,Silk,Applique,Print,Yes
Casual,Low,4.4,Free,Summer,V-neck,Short,Empire,Cotton,Lace,Solid,No
